Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
BKA,7850103_EM-E14y,"Logistics và Quản lý chuỗi cung ứng
(CT tiên tiến)",D07;A01;D01,24.51,2022,
BKA,7850103_EM-NU,Quản lý công nghiệp - Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),A00;A01;D01;D07,23.0,2019,
BKA,7850103_EM-VUW,Quản trị kinh doanh - ĐH Victoria (New Zealand),A00;A01;D01;D07,20.9,2019,
BKA,7850103_EM-VUW,Quản trị kinh doanh - hợp tác với ĐH Victoria Wellington (New Zealand),A00;A01;D01,22.7,2020,
BKA,7850103_EM-VUWx,Quản trị kinh doanh - hợp tác với ĐH Victoria Wellington (New Zealand),A19,19.0,2020,KTTD
BKA,7850103_EM1,Kinh tế công nghiệp,A00;A01;D01,21.9,2019,
BKA,7850103_EM1,Kinh tế công nghiệp,A00;A01;D01,24.65,2020,
BKA,7850103_EM1,Kinh tế Công nghiệp,A00;A01;D01,25.65,2021,
BKA,7850103_EM1,Quản lý năng lượng,A00;A01;D01,24.98,2023,
BKA,7850103_EM1,Quản lý năng lượng,A00;A01;D01,25.4,2024,
BKA,7850103_EM1x,Kinh tế công nghiệp,A19,20.54,2020,KTTD
BKA,7850103_EM1y,Kinh tế công nghiệp,A00;A01;D01,24.3,2022,
BKA,7850103_EM2,Quản lý công nghiệp,A00;A01;D01,22.3,2019,
BKA,7850103_EM2,Quản lý công nghiệp,A00;A01;D01,25.05,2020,
BKA,7850103_EM2,Quản lý Công nghiệp,A00;A01;D01,25.75,2021,
BKA,7850103_EM2,Quản lý Công nghiệp,A00;A01;D01,25.39,2023,
BKA,7850103_EM2,Quản lý Công nghiệp,A00;A01;D01,25.6,2024,
BKA,7850103_EM2x,Quản lý công nghiệp,A19,19.13,2020,KTTD
BKA,7850103_EM2y,Quản lý công nghiệp,A00;A01;D01,23.3,2022,
BKA,7850103_EM3,Quản trị kinh doanh,A00;A01;D01,23.3,2019,
BKA,7850103_EM3,Quản trị kinh doanh,A00;A01;D01,25.75,2020,
BKA,7850103_EM3,Quản trị Kinh doanh,A00;A01;D01,26.04,2021,
BKA,7850103_EM3,Quản trị Kinh doanh,A00;A01;D01,25.83,2023,
BKA,7850103_EM3,Quản trị Kinh doanh,A00;A01;D01,25.77,2024,
